Date,PPO Agent,Equal-Weight (1/N),Nifty BeES B&H,MVO λ=0.5,MVO λ=1.0,MVO λ=2.0
2023-02-22,1.203321709028678,1.1900117544379682,1.2044516339522588,1.2654192961360495,1.3009499746417303,1.2641451852325492
2023-02-23,1.1834567981528687,1.1878365599474092,1.201323350568745,1.261308000840265,1.2968063608330984,1.2601268384566229
2023-02-24,1.17968740807152,1.1852685175963609,1.1978823152209859,1.2547240525772168,1.2899279006222237,1.2541089812547308
2023-02-27,1.1734301647831105,1.1815325486371342,1.1922513478500811,1.2520517196603829,1.2860524799218696,1.2493631078007132
2023-02-28,1.169904746386604,1.1753170951834986,1.1868706966117313,1.2508135887632938,1.2846751273637218,1.2469701644297315
2023-03-01,1.1686517871797428,1.1836588982335283,1.1967560835597517,1.2581438335651594,1.2927636800841098,1.2550877563819007
2023-03-02,1.1760098354450477,1.1720996845943725,1.1883096802372106,1.2469879161620205,1.2808406444046205,1.2436748706042917
2023-03-03,1.165163609299114,1.1883682406191012,1.204451633952259,1.2661785746737195,1.3002544578594308,1.2624321490955879
2023-03-06,1.1828240958351117,1.1964003091643682,1.211459053649321,1.2740500132538803,1.3086200900629017,1.270809791510483
2023-03-08,1.190434199601608,1.1967398602306871,1.2134611053716011,1.2772626717504756,1.311929797411803,1.2738983014044893
2023-03-09,1.1934449961259188,1.1822679997166115,1.2052650181816156,1.2695854001070717,1.3041385873985496,1.265526278934556
2023-03-10,1.1863574365458045,1.1699116112206822,1.1934401108106376,1.2497300528447206,1.2841214264316558,1.2471643476736478
2023-03-13,1.1681480928448567,1.1526752461450374,1.1769853096637108,1.232638148997282,1.2666222413530928,1.2304858452958984
2023-03-14,1.1522293181440355,1.143826376982245,1.1694149173374806,1.2251163684138529,1.2582703297164153,1.2222799021629622
2023-03-15,1.1446316957937066,1.1365245505029007,1.1643471135310088,1.214696862703282,1.247573809890931,1.2114259357001957
2023-03-16,1.1349012147215713,1.137411966481868,1.1651604022927324,1.2172987111139242,1.250202226044853,1.2144660316315774
2023-03-17,1.1372922497547135,1.145445892569571,1.1726057320203171,1.2279699506782824,1.2607123474320643,1.2234377439611035
2023-03-20,1.1468531666597102,1.143395559788902,1.164972712927132,1.2196260290377032,1.251829212673292,1.215900758857503
2023-03-21,1.1387722977376962,1.1479784347569335,1.1728560481528727,1.2283875210468602,1.2599949190448108,1.2233802243905068
2023-03-22,1.1462005316478858,1.1513976324420316,1.1754837947389085,1.2303566482133248,1.2619602972169017,1.2254355991598918
2023-03-23,1.1479884098938136,1.1433892234261758,1.1694149173374802,1.221667695079347,1.2527913878162997,1.2165845611902055
2023-03-24,1.1412407170565588,1.1401372909495242,1.16171927147734,1.217838223236023,1.248551804028684,1.2122308952905316
2023-03-27,1.1370531659818506,1.1457892431139707,1.1648475548608541,1.2183779342466106,1.249230000872147,1.2134386498964413
2023-03-28,1.140124714010445,1.1453232784016087,1.1619070563105727,1.2252271281165519,1.2562274324549867,1.2194816386888114
2023-03-29,1.142785176731072,1.1519419996364746,1.1705410535310814,1.2272611357036123,1.2583135006394368,1.2224305656663748
2023-03-31,1.1493679899257498,1.1769229540699575,1.1878717702066866,1.2530684644588803,1.284384615308938,1.2465035385949146
2023-04-03,1.1678716337484145,1.1763042120160174,1.1922513478500798,1.25771445299101,1.289484893259585,1.251149576986865
2023-04-05,1.1700233709873444,1.1876577650778235,1.2024495822299783,1.2740216886521378,1.3059689522048454,1.2677678031308184
